GREEN,TRIANGLE,MEDIUM,0.
RED,TRIANGLE,MEDIUM,1.
BLUE,CIRCLE,MEDIUM,1.
RED,CIRCLE,SMALL,0.
GREEN,TRIANGLE,MEDIUM,1.
RED,CIRCLE,LARGE,1.
RED,RECTANGLE,MEDIUM,1.
RED,TRIANGLE,MEDIUM,1.
RED,TRIANGLE,SMALL,0.
RED,RECTANGLE,SMALL,1.
GREEN,TRIANGLE,LARGE,0.
BLUE,TRIANGLE,SMALL,0.
BLUE,CIRCLE,SMALL,0.
RED,CIRCLE,MEDIUM,0.
BLUE,CIRCLE,MEDIUM,1.
GREEN,CIRCLE,SMALL,0.
GREEN,TRIANGLE,MEDIUM,1.
RED,CIRCLE,LARGE,1.
RED,RECTANGLE,MEDIUM,0.
RED,TRIANGLE,MEDIUM,0.
BLUE,TRIANGLE,SMALL,0.
RED,RECTANGLE,SMALL,1.
GREEN,TRIANGLE,MEDIUM,1.
RED,CIRCLE,LARGE,1.
BLUE,CIRCLE,SMALL,0.
RED,TRIANGLE,MEDIUM,1.
BLUE,CIRCLE,MEDIUM,1.
RED,RECTANGLE,SMALL,1.
GREEN,TRIANGLE,MEDIUM,1.
GREEN,RECTANGLE,LARGE,0.
BLUE,TRIANGLE,LARGE,0.
RED,TRIANGLE,LARGE,0.
GREEN,TRIANGLE,LARGE,0.
RED,TRIANGLE,MEDIUM,0.
RED,CIRCLE,LARGE,0.
RED,CIRCLE,LARGE,1.
RED,RECTANGLE,MEDIUM,1.
BLUE,TRIANGLE,LARGE,0.
BLUE,CIRCLE,MEDIUM,1.
RED,RECTANGLE,SMALL,1.
GREEN,TRIANGLE,MEDIUM,1.
RED,CIRCLE,LARGE,1.
RED,RECTANGLE,SMALL,0.
RED,TRIANGLE,MEDIUM,1.
RED,TRIANGLE,LARGE,0.
RED,RECTANGLE,SMALL,1.
BLUE,CIRCLE,LARGE,0.
RED,TRIANGLE,SMALL,0.
RED,RECTANGLE,MEDIUM,1.
RED,TRIANGLE,MEDIUM,0.
